order_id,customer_id,order_date,category,quantity,unit_price,revenue,margin,discount,returned,region,channel,segment
O003007,C0593,2023-06-24,Electronics,1,5.0,5.0,1.1,0.0,False,South,Retail,Regular
O005743,C1137,2024-10-06,Home & Kitchen,2,82.8,165.59,69.55,24.84,True,North,Online,Regular
O008585,C1730,2024-02-03,Electronics,1,401.14,340.97,75.01,68.19,False,North,App,Regular
O000073,C0013,2023-12-26,Sports,2,27.77,72.2,27.44,3.61,False,North,Online,Premium
O002575,C0513,2023-02-25,Home & Kitchen,2,131.08,222.83,93.59,0.0,False,East,Online,Occasional
O001900,C0361,2023-12-19,Sports,1,185.89,241.65,91.83,0.0,False,North,Online,Regular
O006744,C1347,2024-07-23,Beauty,2,38.2,76.4,47.37,0.0,False,East,Retail,Occasional
O008242,C1644,2023-09-01,Sports,1,5.0,5.0,1.9,0.0,False,South,Online,Premium
O008376,C1686,2023-09-02,Home & Kitchen,1,70.63,70.63,29.66,0.0,False,South,Online,Regular
O004289,C0864,2024-05-14,Clothing,1,98.14,98.14,53.98,0.0,True,Central,Online,Regular
O002364,C0464,2023-03-12,Home & Kitchen,1,78.32,78.32,32.89,0.0,False,North,Retail,Premium
O003171,C0629,2024-06-29,Home & Kitchen,1,51.33,51.33,21.56,0.0,False,North,Online,Regular
O007883,C1558,2024-06-13,Home & Kitchen,2,55.88,111.76,46.94,5.59,False,West,App,Premium
O003016,C0594,2024-04-17,Electronics,1,5.0,5.0,1.1,0.25,False,North,Partner,Regular
O002482,C0487,2024-10-19,Sports,1,34.43,34.43,13.08,6.89,False,South,Retail,Regular
O005525,C1105,2023-08-20,Beauty,1,52.62,52.62,32.62,0.0,False,South,App,Regular
O005419,C1085,2023-02-04,Home & Kitchen,1,111.48,94.76,39.8,0.0,False,South,Retail,Premium
O001788,C0340,2024-12-22,Home & Kitchen,1,59.7,77.61,32.6,11.64,False,West,Online,Premium
O002112,C0405,2024-10-13,Electronics,1,177.39,177.39,39.03,0.0,True,Central,Online,Premium
O009691,C1941,2023-06-25,Electronics,1,364.4,364.4,80.17,72.88,False,West,Online,Regular
O007457,C1475,2024-09-15,Home & Kitchen,1,132.97,132.97,55.85,0.0,False,South,Partner,Premium
O005901,C1171,2024-10-13,Home & Kitchen,1,105.01,105.01,44.1,0.0,True,Central,Online,Premium
O008455,C1704,2024-03-26,Sports,1,165.54,165.54,62.91,24.83,False,South,Online,Regular
O006385,C1273,2023-06-24,Electronics,1,391.51,391.51,86.13,0.0,False,East,Partner,Regular
O009079,C1828,2024-01-21,Sports,2,99.62,169.35,64.35,8.47,False,South,Online,Regular
O008570,C1724,2023-06-02,Beauty,1,67.88,67.88,42.09,13.58,True,West,Partner,Regular
O005633,C1120,2024-03-14,Electronics,2,316.11,632.22,139.09,0.0,False,East,Online,Regular
O003145,C0621,2023-10-15,Sports,2,60.02,120.04,45.62,0.0,False,South,Partner,Premium
O005843,C1156,2023-07-27,Beauty,1,35.31,35.31,21.89,0.0,False,Central,Online,Regular
O004138,C0831,2023-01-05,Clothing,2,5.0,8.5,4.68,0.85,False,South,Retail,Premium
O002085,C0401,2023-06-08,Clothing,1,34.73,34.73,19.1,1.74,True,North,Partner,Premium
O007104,C1415,2023-01-27,Clothing,1,5.0,4.25,2.34,0.0,True,South,Retail,Regular
O003243,C0644,2023-03-14,Clothing,1,50.95,50.95,28.02,5.1,False,North,Online,Regular
O004596,C0925,2024-06-06,Clothing,1,76.58,76.58,42.12,0.0,False,West,Partner,Premium
O004462,C0900,2024-03-09,Beauty,1,38.4,38.4,23.81,1.92,False,North,App,Regular
O007138,C1419,2023-07-20,Clothing,1,5.0,5.0,2.75,0.0,False,East,Retail,Premium
O000342,C0066,2024-05-22,Beauty,2,83.26,166.53,103.25,0.0,False,Central,Partner,Occasional
O008862,C1780,2023-03-27,Electronics,2,657.78,1315.56,289.42,0.0,False,East,App,Premium
O002039,C0391,2023-09-28,Beauty,1,47.01,47.01,29.15,0.0,False,Central,App,Premium
O001315,C0246,2023-10-03,Sports,1,90.11,90.11,34.24,9.01,False,South,Online,Regular
O004699,C0938,2024-10-03,Electronics,1,62.7,62.7,13.79,0.0,False,West,Online,Regular
O006993,C1395,2024-08-01,Clothing,1,10.51,10.51,5.78,1.05,False,North,App,Regular
O006061,C1198,2024-01-11,Beauty,1,40.18,34.15,21.17,3.42,False,West,Partner,Premium
O002927,C0573,2024-01-19,Beauty,1,19.16,16.29,10.1,3.26,False,South,App,Regular
O002094,C0402,2024-07-24,Beauty,1,22.59,22.59,14.01,1.13,False,Central,Online,Regular
O001452,C0272,2023-04-21,Sports,2,5.0,10.0,3.8,0.5,False,West,App,Occasional
O005566,C1111,2024-02-21,Home & Kitchen,1,95.94,81.55,34.25,16.31,False,West,App,Regular
O007563,C1498,2023-03-24,Electronics,1,158.94,158.94,34.97,0.0,False,North,Online,Regular
O007704,C1530,2023-10-07,Sports,1,74.11,74.11,28.16,0.0,False,South,Online,Regular
O000165,C0033,2024-10-01,Home & Kitchen,2,61.06,122.12,51.29,18.32,False,West,Online,Regular
O009103,C1833,2023-05-26,Electronics,1,344.81,344.81,75.86,0.0,False,Central,Partner,Regular
O001102,C0210,2024-04-08,Beauty,1,14.33,14.33,8.88,0.0,False,West,Online,Regular
O009085,C1829,2024-10-29,Sports,1,73.37,73.37,27.88,11.01,False,North,Online,Regular
O002885,C0569,2023-01-07,Clothing,1,41.97,35.67,19.62,0.0,False,South,Online,Premium
O006758,C1349,2024-02-22,Home & Kitchen,1,44.11,37.49,15.75,3.75,False,West,Partner,Premium
O001921,C0371,2024-09-26,Home & Kitchen,1,82.14,82.14,34.5,0.0,False,North,Online,Regular
O003114,C0614,2024-06-13,Clothing,1,26.31,26.31,14.47,0.0,False,South,Online,Occasional
O005909,C1172,2023-08-24,Sports,1,185.05,185.05,70.32,9.25,True,West,App,Regular
O001349,C0256,2024-04-14,Electronics,2,319.32,638.64,140.5,127.73,False,Central,Online,Regular
O003116,C0615,2023-04-01,Beauty,1,13.66,13.66,8.47,0.0,False,South,Retail,Occasional
O007970,C1582,2024-06-05,Sports,1,200.72,200.72,76.27,10.04,False,Central,Online,Regular
O005391,C1078,2024-07-15,Electronics,1,220.53,220.53,48.52,11.03,False,Central,Online,Occasional
O006204,C1226,2024-06-15,Beauty,1,33.95,33.95,21.05,6.79,False,East,Retail,Premium
O008000,C1587,2023-11-07,Sports,1,151.25,196.63,74.72,0.0,False,North,Online,Regular
O003953,C0797,2024-08-17,Home & Kitchen,1,24.09,24.09,10.12,4.82,False,East,Online,Regular
O005622,C1119,2023-04-14,Home & Kitchen,1,60.76,60.76,25.52,3.04,False,North,App,Premium
O001392,C0263,2024-06-12,Home & Kitchen,1,77.0,77.0,32.34,15.4,False,Central,Online,Premium
O009036,C1821,2024-12-05,Sports,1,90.18,117.24,44.55,0.0,False,West,App,Premium
O001477,C0277,2023-11-04,Sports,1,184.92,240.39,91.35,48.08,False,South,App,Regular
O004628,C0928,2024-11-18,Beauty,1,51.94,67.52,41.86,3.38,False,North,App,Regular
O002170,C0415,2023-04-30,Beauty,3,53.82,161.45,100.1,0.0,False,East,App,Premium
O008619,C1735,2023-02-26,Beauty,1,82.13,69.81,43.28,6.98,False,North,Online,Regular
O000799,C0147,2024-04-13,Electronics,3,320.63,961.89,211.62,96.19,False,East,App,Premium
O009071,C1826,2023-07-24,Sports,1,214.02,214.02,81.33,42.8,False,East,Online,Regular
O009296,C1865,2023-03-25,Beauty,2,5.0,10.0,6.2,2.0,False,East,App,Premium
O004467,C0901,2024-05-11,Electronics,1,607.3,607.3,133.61,91.09,False,North,Online,Occasional
O005420,C1085,2023-09-04,Electronics,1,471.84,471.84,103.8,23.59,False,South,Retail,Premium
O004087,C0824,2024-11-17,Beauty,2,54.54,141.8,87.92,28.36,False,Central,Retail,Premium
O007379,C1461,2024-07-27,Home & Kitchen,1,136.39,136.39,57.28,6.82,False,Central,App,Regular
O003218,C0635,2024-12-13,Electronics,3,400.76,1562.95,343.85,0.0,False,South,Online,Premium
O006127,C1207,2024-09-03,Clothing,1,61.39,61.39,33.76,0.0,False,Central,App,Regular
O007568,C1499,2024-12-02,Beauty,1,18.3,23.79,14.75,2.38,False,West,Online,Regular
O006264,C1242,2023-11-18,Beauty,1,37.39,48.6,30.13,7.29,False,South,Online,Occasional
O009612,C1931,2024-01-29,Electronics,1,292.2,248.37,54.64,49.67,False,East,Online,Premium
O006777,C1353,2023-02-22,Clothing,1,9.99,8.49,4.67,0.85,False,Central,App,Regular
O003181,C0630,2023-02-12,Electronics,2,242.77,412.71,90.8,0.0,False,South,Retail,Regular
O006365,C1268,2023-03-13,Electronics,2,426.66,853.32,187.73,42.67,False,South,Retail,Regular
O003319,C0660,2024-12-01,Clothing,1,62.08,80.71,44.39,8.07,False,North,Online,Premium
O005538,C1108,2023-06-24,Electronics,1,619.4,619.4,136.27,0.0,False,Central,Retail,Premium
O005120,C1017,2023-10-23,Electronics,1,283.08,283.08,62.28,56.62,False,West,Retail,Occasional
O003484,C0696,2024-03-09,Home & Kitchen,1,5.0,5.0,2.1,0.0,False,South,Online,Regular
O007469,C1478,2023-04-03,Clothing,2,68.96,137.92,75.86,0.0,False,East,Retail,Regular
O004131,C0831,2023-07-28,Clothing,1,55.66,55.66,30.61,11.13,False,South,Retail,Premium
O006266,C1243,2023-06-14,Beauty,1,26.29,26.29,16.3,0.0,False,West,Online,Regular
O005130,C1019,2024-03-28,Electronics,3,453.89,1361.67,299.57,204.25,False,West,App,Regular
O002514,C0493,2024-04-14,Electronics,1,207.75,207.75,45.7,31.16,False,West,App,Regular
O003651,C0730,2023-10-07,Home & Kitchen,1,26.46,26.46,11.11,0.0,False,North,Retail,Premium
O006750,C1349,2024-06-25,Sports,1,149.35,149.35,56.75,29.87,False,West,Partner,Premium
O003608,C0719,2024-01-20,Sports,2,183.76,312.39,118.71,0.0,False,West,App,Regular
O001739,C0332,2023-08-11,Electronics,1,327.52,327.52,72.05,0.0,False,West,Retail,Regular
O004734,C0948,2024-06-13,Sports,1,5.0,5.0,1.9,0.0,False,West,App,Occasional
O006582,C1314,2023-07-21,Clothing,1,53.55,53.55,29.45,2.68,False,South,App,Regular
O004333,C0873,2024-09-24,Home & Kitchen,2,58.91,117.82,49.48,0.0,False,North,Online,Premium
O007925,C1571,2023-02-11,Clothing,1,88.94,75.6,41.58,7.56,False,North,Retail,Regular
O000279,C0054,2024-09-18,Home & Kitchen,1,28.04,28.04,11.78,1.4,False,South,Online,Regular
O010010,C1996,2023-03-23,Electronics,1,96.78,96.78,21.29,0.0,False,East,Retail,Premium
O007192,C1431,2024-10-13,Sports,2,88.15,176.3,66.99,35.26,False,West,Online,Regular
O004177,C0839,2024-10-31,Sports,1,64.9,64.9,24.66,0.0,False,East,App,Regular
O001511,C0287,2023-07-01,Sports,1,61.05,61.05,23.2,0.0,False,West,App,Premium
O000042,C0007,2024-04-13,Beauty,1,49.2,49.2,30.5,0.0,False,East,App,Regular
O009867,C1969,2023-07-01,Beauty,1,28.22,28.22,17.5,0.0,False,North,Retail,Premium
O003858,C0776,2023-11-30,Electronics,1,229.32,298.12,65.59,0.0,False,South,App,Premium
O004950,C0989,2023-08-27,Sports,1,58.35,58.35,22.17,0.0,False,North,App,Regular
O004424,C0891,2023-04-24,Electronics,1,451.43,451.43,99.31,67.71,False,North,App,Premium
O005422,C1085,2024-12-05,Clothing,1,120.35,156.46,86.05,15.65,False,South,Retail,Premium
O001238,C0232,2023-07-06,Beauty,2,20.38,40.76,25.27,4.08,False,West,Online,Regular
O003600,C0718,2024-03-10,Sports,1,5.0,5.0,1.9,0.75,False,North,Partner,Premium
O009739,C1947,2023-09-08,Electronics,1,345.92,345.92,76.1,0.0,False,West,Online,Premium
O008476,C1710,2024-07-05,Beauty,2,73.92,147.83,91.65,14.78,False,Central,Retail,Regular
O000292,C0056,2024-09-16,Electronics,1,281.89,281.89,62.02,14.09,False,East,App,Regular
O004517,C0910,2024-07-28,Beauty,1,20.86,20.86,12.93,3.13,False,Central,Partner,Regular
O003066,C0601,2024-01-03,Beauty,1,49.7,42.24,26.19,0.0,False,East,Retail,Premium
O008778,C1764,2024-06-26,Sports,1,81.8,81.8,31.08,0.0,False,North,Online,Occasional
O008110,C1619,2023-12-01,Sports,1,23.99,31.18,11.85,3.12,False,North,Online,Regular
O006331,C1255,2024-12-05,Home & Kitchen,2,88.81,230.92,96.99,0.0,False,South,Online,Premium
O009313,C1866,2024-02-22,Sports,1,133.75,113.69,43.2,17.05,False,South,Online,Premium
O006456,C1289,2024-03-17,Home & Kitchen,1,145.36,145.36,61.05,14.54,False,West,App,Regular
O001058,C0202,2024-02-15,Home & Kitchen,1,57.33,48.73,20.47,0.0,False,East,Online,Regular
O002048,C0396,2024-03-05,Sports,2,114.11,228.23,86.73,45.65,False,West,Online,Occasional
O006050,C1197,2024-12-28,Electronics,1,421.38,547.79,120.51,109.56,False,North,Online,Regular
O007722,C1533,2024-05-02,Beauty,1,14.42,14.42,8.94,1.44,False,North,Online,Occasional
O000603,C0110,2023-12-06,Beauty,1,48.25,62.72,38.89,6.27,False,West,App,Regular
O006551,C1308,2023-02-12,Clothing,1,63.53,54.0,29.7,5.4,False,West,App,Premium
O007305,C1451,2023-06-24,Sports,1,163.3,163.3,62.05,24.5,False,North,App,Premium
O002608,C0521,2023-04-02,Home & Kitchen,1,112.96,112.96,47.44,0.0,False,Central,App,Premium
O009019,C1815,2024-05-17,Sports,1,145.05,145.05,55.12,0.0,False,East,Online,Regular
O001395,C0263,2023-06-12,Beauty,2,62.97,125.95,78.09,0.0,False,Central,Online,Premium
O003326,C0661,2023-10-08,Home & Kitchen,2,96.85,193.7,81.35,0.0,False,West,App,Regular
O008205,C1637,2023-05-18,Clothing,1,51.57,51.57,28.36,10.31,False,East,App,Premium
O000452,C0088,2023-08-24,Beauty,2,58.19,116.37,72.15,0.0,False,Central,Partner,Regular
O001991,C0379,2024-10-31,Beauty,1,63.31,63.31,39.25,3.17,False,West,Online,Premium
O003817,C0772,2024-04-05,Electronics,1,405.54,405.54,89.22,0.0,False,North,Retail,Regular
O006772,C1352,2023-03-14,Beauty,1,18.39,18.39,11.4,1.84,True,Central,App,Regular
O002098,C0402,2023-11-11,Beauty,1,62.02,80.62,49.98,8.06,True,Central,Online,Regular
O003895,C0785,2024-11-10,Sports,1,113.02,146.93,55.83,14.69,False,West,Online,Regular
O002341,C0461,2024-12-05,Beauty,1,57.42,74.65,46.28,3.73,False,West,Online,Regular
O009120,C1835,2024-12-31,Sports,1,184.26,239.54,91.03,0.0,False,Central,Online,Regular
O000792,C0145,2024-11-17,Sports,1,38.71,50.33,19.13,10.07,False,West,Online,Regular
O001623,C0311,2024-05-09,Home & Kitchen,2,158.55,317.1,133.18,63.42,False,West,Online,Regular
O009708,C1945,2024-01-22,Clothing,1,95.85,81.47,44.81,0.0,False,West,Online,Premium
O004054,C0821,2024-11-20,Home & Kitchen,2,156.13,405.94,170.49,20.3,False,West,Partner,Regular
O006686,C1333,2024-04-13,Electronics,1,437.39,437.39,96.23,0.0,False,East,Partner,Regular
O010002,C1994,2024-07-19,Beauty,1,69.0,69.0,42.78,0.0,False,East,Retail,Occasional
O000831,C0151,2024-03-30,Beauty,1,49.58,49.58,30.74,2.48,False,West,Online,Regular
O002539,C0502,2023-08-08,Clothing,1,72.18,72.18,39.7,14.44,False,West,Retail,Regular
O001260,C0237,2024-01-23,Clothing,1,42.48,36.11,19.86,0.0,False,East,Online,Regular
O002704,C0539,2023-05-30,Home & Kitchen,1,36.75,36.75,15.43,5.51,False,South,Online,Regular
O002951,C0577,2024-08-14,Sports,1,92.86,92.86,35.29,18.57,False,North,Online,Regular
O006060,C1198,2023-05-13,Home & Kitchen,2,57.9,115.79,48.63,5.79,False,West,Partner,Premium
O003463,C0691,2024-12-02,Electronics,1,441.22,573.59,126.19,0.0,False,West,App,Occasional
O007566,C1498,2023-04-03,Sports,2,149.27,298.55,113.45,44.78,False,North,Online,Regular
O005036,C1004,2023-02-05,Sports,1,77.55,65.91,25.05,9.89,False,East,Partner,Premium
O008882,C1788,2024-10-01,Clothing,2,73.86,147.72,81.25,0.0,False,North,App,Regular
O009206,C1847,2023-09-12,Home & Kitchen,1,101.05,101.05,42.44,0.0,False,West,Online,Premium
O006559,C1310,2024-05-25,Electronics,1,809.8,809.8,178.16,121.47,False,North,Online,Regular
O002391,C0468,2023-07-05,Clothing,1,93.96,93.96,51.68,0.0,False,West,App,Premium
O007588,C1505,2024-08-23,Sports,3,78.63,235.88,89.63,0.0,False,South,Retail,Premium
O004493,C0905,2023-12-24,Sports,1,5.0,6.5,2.47,0.0,False,South,Online,Premium
O007740,C1537,2023-11-19,Beauty,2,44.21,114.94,71.26,5.75,True,East,Online,Premium
O004435,C0892,2024-08-18,Electronics,2,146.9,293.79,64.63,29.38,False,South,App,Regular
O008536,C1718,2023-12-18,Clothing,1,75.25,97.82,53.8,0.0,False,East,App,Regular
O004960,C0992,2023-03-12,Beauty,1,55.33,55.33,34.3,2.77,False,East,Partner,Regular
O001704,C0328,2024-02-07,Sports,1,54.07,45.96,17.46,0.0,False,South,Online,Regular
O008039,C1596,2023-04-24,Sports,3,104.02,312.05,118.58,15.6,False,West,Online,Regular
O004914,C0981,2024-04-05,Clothing,1,55.31,55.31,30.42,11.06,False,North,Online,Regular
O006937,C1387,2024-07-23,Sports,1,59.88,59.88,22.75,0.0,False,Central,App,Regular
O008940,C1801,2023-06-30,Beauty,1,32.72,32.72,20.29,0.0,False,East,Online,Regular
O004756,C0952,2024-09-09,Sports,2,172.57,345.14,131.15,0.0,False,West,App,Regular
O009271,C1860,2024-02-21,Clothing,1,50.66,43.06,23.68,0.0,False,Central,Online,Regular
O006389,C1274,2024-12-05,Clothing,1,119.24,155.02,85.26,31.0,False,West,App,Regular
O005591,C1115,2024-09-13,Home & Kitchen,1,121.84,121.84,51.17,6.09,False,Central,Retail,Regular
O009200,C1846,2023-12-02,Sports,1,74.67,97.07,36.89,4.85,False,North,App,Premium
O008730,C1756,2023-01-18,Beauty,2,38.35,65.19,40.42,6.52,False,Central,Online,Premium
O001187,C0226,2023-02-27,Home & Kitchen,1,124.18,105.55,44.33,21.11,True,South,Online,Regular
O009135,C1837,2023-09-03,Electronics,1,497.75,497.75,109.5,0.0,False,East,Online,Regular
O002531,C0498,2023-09-18,Sports,1,122.09,122.09,46.39,0.0,False,East,App,Regular
O008732,C1756,2023-11-26,Electronics,1,451.93,587.51,129.25,0.0,False,Central,Online,Premium
O001428,C0267,2024-10-29,Home & Kitchen,1,56.0,56.0,23.52,2.8,False,South,App,Premium
O002194,C0423,2023-09-13,Beauty,1,25.77,25.77,15.98,5.15,False,West,Online,Regular
O004848,C0965,2023-10-02,Electronics,3,344.02,1032.07,227.06,103.21,False,North,Online,Regular
O009825,C1962,2023-11-04,Electronics,2,403.43,1048.91,230.76,52.45,False,Central,Online,Regular
O008077,C1607,2023-12-01,Clothing,1,51.2,66.56,36.61,13.31,False,North,Online,Regular
O006401,C1278,2023-06-01,Beauty,1,34.9,34.9,21.64,6.98,False,South,App,Regular
O000066,C0012,2023-10-28,Home & Kitchen,1,202.51,202.51,85.05,0.0,False,Central,Retail,Regular
O008546,C1719,2023-12-14,Clothing,1,110.49,143.64,79.0,7.18,False,East,Online,Regular
O000065,C0012,2023-07-04,Electronics,1,286.33,286.33,62.99,28.63,False,Central,Retail,Regular
O000857,C0155,2023-12-26,Clothing,1,77.98,101.37,55.75,20.27,True,South,Online,Regular
O007700,C1528,2024-05-28,Electronics,1,443.88,443.88,97.65,66.58,True,West,Retail,Occasional
O006255,C1237,2024-05-21,Sports,1,95.66,95.66,36.35,19.13,False,North,Online,Regular
O004497,C0905,2024-04-08,Home & Kitchen,1,187.3,187.3,78.67,0.0,False,South,Online,Premium
O005616,C1119,2024-09-22,Clothing,1,49.45,49.45,27.2,2.47,False,North,App,Premium
O001233,C0232,2024-12-06,Electronics,2,95.15,247.39,54.43,0.0,False,West,Online,Regular
O008374,C1686,2024-08-12,Sports,2,207.13,414.26,157.42,0.0,False,South,Online,Regular
O008316,C1667,2023-09-12,Sports,1,68.37,68.37,25.98,13.67,True,North,Online,Regular
O007404,C1466,2023-07-15,Clothing,2,113.15,226.31,124.47,11.32,False,East,Online,Premium
O006429,C1285,2023-11-16,Sports,1,190.6,247.78,94.16,37.17,False,East,Online,Premium
O008527,C1717,2024-10-26,Electronics,1,456.64,456.64,100.46,22.83,False,Central,Online,Regular
O006707,C1336,2023-05-24,Home & Kitchen,1,10.54,10.54,4.43,0.0,False,West,App,Regular
O006708,C1336,2024-11-05,Sports,2,169.99,441.96,167.94,0.0,False,West,App,Regular
O002488,C0490,2023-08-15,Electronics,1,223.84,223.84,49.24,22.38,False,East,Partner,Premium
O000054,C0008,2023-10-07,Sports,1,131.25,131.25,49.88,0.0,True,West,Online,Premium
O005870,C1165,2024-01-05,Electronics,1,143.68,122.13,26.87,0.0,False,Central,App,Regular
O008019,C1591,2024-07-25,Clothing,2,39.21,78.41,43.13,7.84,False,Central,App,Premium
O000923,C0174,2023-02-23,Beauty,1,69.45,59.04,36.6,2.95,False,South,Retail,Regular
O007037,C1404,2024-04-26,Electronics,1,303.51,303.51,66.77,45.53,False,North,Online,Premium
O008226,C1641,2024-11-06,Sports,1,195.99,254.78,96.82,0.0,False,East,App,Occasional
O007665,C1522,2024-07-01,Beauty,1,36.32,36.32,22.52,0.0,False,North,App,Premium
O003816,C0771,2023-05-02,Electronics,2,599.55,1199.1,263.8,59.96,False,West,Partner,Regular
O002384,C0468,2024-04-19,Beauty,2,26.93,53.85,33.39,8.08,False,West,App,Premium
O003485,C0697,2023-02-25,Clothing,1,33.34,28.34,15.59,0.0,False,North,Retail,Regular
O004584,C0924,2024-04-07,Beauty,2,32.88,65.75,40.76,0.0,False,West,App,Premium
O007600,C1508,2023-08-05,Beauty,1,38.72,38.72,24.01,0.0,False,North,Online,Regular
O001387,C0263,2024-10-23,Electronics,1,419.17,419.17,92.22,0.0,False,Central,Online,Premium
O009488,C1905,2024-12-22,Electronics,1,313.83,407.98,89.76,81.6,False,West,Partner,Occasional
O006567,C1311,2023-10-29,Home & Kitchen,1,22.27,22.27,9.35,0.0,False,North,Online,Regular
