month,category,our_avg_price,comp_avg_price,our_market_share,comp_market_share,our_rating,comp_rating
2023-03-01,Home & Kitchen,95.38,87.824,0.236,0.257,4.11,4.22
2023-04-01,Home & Kitchen,95.57000000000001,87.736,0.233,0.279,4.23,4.15
2023-05-01,Home & Kitchen,95.76,87.648,0.239,0.279,4.07,4.22
2023-06-01,Home & Kitchen,95.95,87.56,0.224,0.264,4.09,4.17
2023-07-01,Home & Kitchen,96.14,87.472,0.224,0.264,4.1,4.2
2023-08-01,Home & Kitchen,96.33,87.384,0.224,0.282,4.11,4.22
2023-09-01,Home & Kitchen,96.52,87.29599999999999,0.212,0.291,4.12,4.2
2023-10-01,Home & Kitchen,96.71000000000001,87.208,0.209,0.27,4.04,4.25
2023-11-01,Home & Kitchen,96.9,87.12,0.198,0.283,4.09,4.2
2023-12-01,Home & Kitchen,97.09,87.032,0.202,0.3,4.11,4.22
2024-01-01,Home & Kitchen,97.28,86.944,0.216,0.3,4.09,4.13
2024-02-01,Home & Kitchen,97.47,86.856,0.221,0.319,4.16,4.21
2024-03-01,Home & Kitchen,97.66,86.768,0.193,0.306,4.12,4.22
2024-04-01,Home & Kitchen,97.85000000000001,86.67999999999999,0.182,0.306,4.08,4.22
2024-05-01,Home & Kitchen,98.04,86.592,0.196,0.327,4.11,4.25
2024-06-01,Home & Kitchen,98.23,86.504,0.183,0.336,4.15,4.19
2024-07-01,Home & Kitchen,98.42,86.416,0.201,0.308,4.18,4.19
2024-08-01,Home & Kitchen,98.61,86.328,0.156,0.351,4.12,4.19
2024-09-01,Home & Kitchen,98.8,86.24,0.168,0.341,4.11,4.26
2024-10-01,Home & Kitchen,98.99000000000001,86.152,0.162,0.323,4.12,4.21
2024-11-01,Home & Kitchen,99.18,86.064,0.152,0.325,4.06,4.19
2024-12-01,Home & Kitchen,99.37,85.976,0.151,0.356,4.09,4.24
2023-01-01,Sports,110.0,98.0,0.288,0.315,4.11,4.44
2023-02-01,Sports,110.22,97.902,0.306,0.305,4.11,4.41
2023-03-01,Sports,110.44,97.804,0.296,0.316,4.08,4.45
2023-04-01,Sports,110.66,97.706,0.297,0.321,4.09,4.39
2023-05-01,Sports,110.88,97.608,0.297,0.319,4.09,4.35
2023-06-01,Sports,111.1,97.51,0.292,0.333,4.04,4.42
2023-07-01,Sports,111.32000000000001,97.412,0.283,0.348,4.09,4.44
2023-08-01,Sports,111.54,97.314,0.288,0.326,4.07,4.45
2023-09-01,Sports,111.76,97.216,0.287,0.332,4.13,4.38
2023-10-01,Sports,111.98,97.118,0.271,0.36,4.12,4.36
2023-11-01,Sports,112.2,97.02,0.271,0.362,4.12,4.4
2023-12-01,Sports,112.42,96.922,0.261,0.354,3.95,4.4
2024-01-01,Sports,112.64,96.824,0.252,0.346,4.12,4.41
2024-02-01,Sports,112.86,96.726,0.256,0.361,4.07,4.35
2024-03-01,Sports,113.08,96.628,0.253,0.372,4.05,4.38
2024-04-01,Sports,113.3,96.53,0.249,0.368,4.1,4.4
2024-05-01,Sports,113.52000000000001,96.432,0.236,0.379,4.08,4.42
2024-06-01,Sports,113.74000000000001,96.334,0.243,0.382,4.15,4.41
2024-07-01,Sports,113.96000000000001,96.236,0.246,0.397,4.04,4.38
2024-08-01,Sports,114.18,96.138,0.229,0.399,4.1,4.38
2024-09-01,Sports,114.4,96.03999999999999,0.22,0.397,4.12,4.36
2024-10-01,Sports,114.62,95.942,0.22,0.374,4.14,4.4
2024-11-01,Sports,114.84,95.844,0.22,0.384,4.07,4.42
2024-12-01,Sports,115.06,95.746,0.215,0.397,4.18,4.35
2023-01-01,Beauty,45.0,42.0,0.344,0.342,4.13,4.61
2023-02-01,Beauty,45.09,41.958,0.345,0.343,4.11,4.54
2023-03-01,Beauty,45.18,41.916,0.338,0.352,4.14,4.62
2023-04-01,Beauty,45.27,41.874,0.344,0.364,4.16,4.62
2023-05-01,Beauty,45.36,41.832,0.323,0.361,4.13,4.61
2023-06-01,Beauty,45.45,41.79,0.33,0.374,4.0,4.61
2023-07-01,Beauty,45.54,41.748,0.337,0.381,4.23,4.61
2023-08-01,Beauty,45.63,41.706,0.321,0.393,4.06,4.59
2023-09-01,Beauty,45.72,41.664,0.317,0.374,4.13,4.63
2023-10-01,Beauty,45.81,41.622,0.309,0.389,4.12,4.61
2023-11-01,Beauty,45.9,41.58,0.307,0.383,4.17,4.58
2023-12-01,Beauty,45.99,41.538,0.303,0.404,4.1,4.67
2024-01-01,Beauty,46.08,41.496,0.292,0.39,4.09,4.63
2024-02-01,Beauty,46.17,41.454,0.299,0.407,4.18,4.54
2024-03-01,Beauty,46.26,41.412,0.277,0.4,4.09,4.56
2024-04-01,Beauty,46.35,41.37,0.303,0.411,4.16,4.6
2024-05-01,Beauty,46.44,41.328,0.285,0.404,4.1,4.63
2024-06-01,Beauty,46.53,41.286,0.288,0.424,4.08,4.57
2024-07-01,Beauty,46.620000000000005,41.244,0.272,0.427,4.05,4.59
2024-08-01,Beauty,46.71,41.202,0.266,0.416,4.14,4.6
2024-09-01,Beauty,46.800000000000004,41.16,0.281,0.427,4.15,4.62
2024-10-01,Beauty,46.89,41.118,0.258,0.444,4.06,4.64
2024-11-01,Beauty,46.980000000000004,41.076,0.277,0.441,4.09,4.57
2024-12-01,Beauty,47.07,41.034,0.28,0.428,4.03,4.58
